INFO 2025-06-23 16:52:59,212 basehttp 40064 35172 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:52:59,215 basehttp 40064 25068 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:52:59,215 basehttp 40064 35172 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:52:59,219 basehttp 40064 36188 "GET /api/tareas-estandar/ HTTP/1.1" 200 1821
INFO 2025-06-23 16:52:59,223 basehttp 40064 36188 "GET /api/tareas-estandar/ HTTP/1.1" 200 1821
INFO 2025-06-23 16:53:03,074 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 1804
INFO 2025-06-23 16:53:03,081 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 1804
INFO 2025-06-23 16:53:19,899 basehttp 40064 36188 "OPTIONS /api/detalles-plan-mantenimiento/ HTTP/1.1" 200 0
INFO 2025-06-23 16:53:19,905 basehttp 40064 36188 "POST /api/detalles-plan-mantenimiento/ HTTP/1.1" 201 216
INFO 2025-06-23 16:53:19,915 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 2021
INFO 2025-06-23 16:53:19,918 basehttp 40064 36188 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:53:19,930 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 2021
INFO 2025-06-23 16:53:19,938 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 2021
INFO 2025-06-23 16:53:24,657 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 2021
INFO 2025-06-23 16:53:24,664 basehttp 40064 36188 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=1 HTTP/1.1" 200 2021
INFO 2025-06-23 16:53:38,258 basehttp 40064 35756 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:53:38,258 basehttp 40064 40316 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:53:38,263 basehttp 40064 35756 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:53:38,264 basehttp 40064 26328 "GET /api/tareas-estandar/ HTTP/1.1" 200 1821
INFO 2025-06-23 16:53:38,264 basehttp 40064 40316 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:53:38,268 basehttp 40064 35756 "GET /api/tareas-estandar/ HTTP/1.1" 200 1821
INFO 2025-06-23 16:53:52,047 basehttp 40064 23908 "OPTIONS /api/planes-mantenimiento/ HTTP/1.1" 200 0
INFO 2025-06-23 16:53:52,054 basehttp 40064 23908 "POST /api/planes-mantenimiento/ HTTP/1.1" 201 201
INFO 2025-06-23 16:53:52,059 basehttp 40064 23908 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 517
INFO 2025-06-23 16:53:54,851 basehttp 40064 23908 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=2 HTTP/1.1" 200 2021
INFO 2025-06-23 16:53:54,859 basehttp 40064 23908 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=2 HTTP/1.1" 200 2021
INFO 2025-06-23 16:54:01,482 basehttp 40064 23908 "OPTIONS /api/detalles-plan-mantenimiento/ HTTP/1.1" 200 0
INFO 2025-06-23 16:54:01,488 basehttp 40064 23908 "POST /api/detalles-plan-mantenimiento/ HTTP/1.1" 201 207
INFO 2025-06-23 16:54:01,498 basehttp 40064 23908 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=2 HTTP/1.1" 200 2230
INFO 2025-06-23 16:54:01,503 basehttp 40064 23908 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 517
INFO 2025-06-23 16:54:01,514 basehttp 40064 23908 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=2 HTTP/1.1" 200 2230
INFO 2025-06-23 16:54:01,523 basehttp 40064 23908 "GET /api/detalles-plan-mantenimiento/?idplanmantenimiento=2 HTTP/1.1" 200 2230
WARNING 2025-06-23 16:54:11,445 log 40064 23908 Method Not Allowed: /api/planes-mantenimiento/2/generar-agenda/
WARNING 2025-06-23 16:54:11,445 basehttp 40064 23908 "POST /api/planes-mantenimiento/2/generar-agenda/ HTTP/1.1" 405 43
WARNING 2025-06-23 16:54:13,997 log 40064 23908 Method Not Allowed: /api/planes-mantenimiento/2/generar-agenda/
WARNING 2025-06-23 16:54:13,997 basehttp 40064 23908 "POST /api/planes-mantenimiento/2/generar-agenda/ HTTP/1.1" 405 43
INFO 2025-06-23 16:54:29,261 basehttp 40064 23908 "GET /api/roles/ HTTP/1.1" 200 236
INFO 2025-06-23 16:54:29,265 basehttp 40064 23908 "GET /api/roles/ HTTP/1.1" 200 236
INFO 2025-06-23 16:54:29,268 basehttp 40064 39488 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:54:29,270 basehttp 40064 39488 "GET /api/users/ HTTP/1.1" 200 241
INFO 2025-06-23 16:54:47,680 basehttp 40064 39488 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-23 16:54:48,034 basehttp 40064 39488 "POST /api/users/ HTTP/1.1" 201 156
INFO 2025-06-23 16:54:48,040 basehttp 40064 39488 "GET /api/users/ HTTP/1.1" 200 398
INFO 2025-06-23 16:55:03,562 basehttp 40064 39488 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:55:03,565 basehttp 40064 39488 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:55:04,069 basehttp 40064 39488 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:55:04,071 basehttp 40064 39488 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:55:04,437 basehttp 40064 39488 "GET /api/tipos-tarea/ HTTP/1.1" 200 650
INFO 2025-06-23 16:55:04,439 basehttp 40064 39488 "GET /api/tipos-tarea/ HTTP/1.1" 200 650
